C[C@](CSc(cccc1)c1C(O)=O)(C(N1)=O)NC1=O
C[C@@](CSc(cccc1)c1C(O)=O)(C(N1)=O)NC1=O
OC(CCCNS(c(ccc(F)c1)c1F)(=O)=O)=O
CCN(CCC(O)=O)C(c(cc(cc1)OC)c1O)=O
OC(Cn1nc(C2CC2)nc1-c1cc2n[nH]nc2cc1)=O
COc(cc1)cc(C(N2[C@@H](CC(O)=O)CCCC2)=O)c1O
CCC(C(C(NC(N1c(cccc2)c2Cl)=O)=O)=C1O)=O
COc(cc1)cc(C(N2[C@H](CC(O)=O)CCCC2)=O)c1O
CC(C)[C@@H](C(O)=O)NS(c(cccc1)c1F)(=O)=O
OC(c1cccc(S(NCC(F)(F)F)(=O)=O)c1)=O
CC(C)[C@H](C(O)=O)NS(c(cccc1)c1F)(=O)=O
OC(CNS(c(cc1)cc(Cl)c1Cl)(=O)=O)=O
OC(C(CC1)=NN(c2nc(cccc3)c3[nH]2)C1=O)=O
COc1cc(/C=C(\C(N2)=O)/NC2=S)cc(Cl)c1O
CC(NN1)=C(C(c2ccco2)C2=C(C)NNC2=O)C1=O
CC(NN1)=C(C(C2=C(C)NNC2=O)c2cnccc2)C1=O
CCn1c(SCC(O)=O)nnc1-c(cccc1)c1O
CCc1cccc(CC)c1N(C(O)=CC(N1)=O)C1=S
OC(C1=CN=C(c(cc2)ccc2Cl)NC1=O)=O
CC(C)C[C@@H](C(O)=O)NS(c1cccs1)(=O)=O
CC(C)C[C@H](C(O)=O)NS(c1cccs1)(=O)=O
OC(C1=CN=C(c2cccc(Cl)c2)NC1=O)=O
OP(Cc1ccc(CP(O)(O)O)cc1)(O)O
C[C@@H](CC[C@@H](C1)C(O)=O)N1C(c(ccc(OC)c1)c1O)=O
OC([C@H](C1)[C@@H]1C(N(CCCc1ccc2)c1c2O)=O)=O
COCC(Nc(c1c2O)nn2-c2ccccc2)=CC1=O
OC(c(cccc1)c1SCC(NC(N1)=O)=CC1=O)=O
CN(C)CP([C@H](Cc1ccco1)C(O)=O)(O)O
Cc1ccc(c(C)nc(NC(N2)=NC(O)=CC2=O)n2)c2c1
Cc(c1c2)nc(NC(N3)=NC(O)=CC3=O)nc1ccc2OC
CN(C)CP([C@@H](Cc1ccco1)C(O)=O)(O)O
Cc1nc(NC(N2)=NC(O)=CC2=O)nc2cc(OC)ccc12
CC(NN1)=C(C(C2=C(C)NNC2=O)c2ncccc2)C1=O
Cc1ncc(CO[C@@H]2C(C(NC(N3)=S)=O)=C3O)c2c1O
Cc1ncc(CO[C@@H]2C(C(NC(N3)=S)=O)=C3O)c2c1O
Cc1ncc(CO[C@H]2C(C(NC(N3)=S)=O)=C3O)c2c1O
Cc1ncc(CO[C@H]2C(C(NC(N3)=S)=O)=C3O)c2c1O
CC(C)c(cc1)ccc1N(C(O)=CC(N1)=O)C1=S
OC(CNS(c(cc(cc1)Cl)c1Cl)(=O)=O)=O
CCOc1ccc(CC(C(NC(N)=N2)=O)=C2O)cc1
