C[C@@]1(CSc2ccccc2C(=O)O)NC(=O)NC1=O
C[C@]1(CSc2ccccc2C(=O)O)NC(=O)NC1=O
O=C(O)CCCNS(=O)(=O)c1ccc(F)cc1F
CCN(CCC(=O)O)C(=O)c1cc(OC)ccc1O
O=C(O)Cn1nc(C2CC2)nc1-c1ccc2n[nH]nc2c1
COc1ccc(O)c(C(=O)N2CCCC[C@@H]2CC(=O)O)c1
CCC(=O)c1c(O)n(-c2ccccc2Cl)c(=O)[nH]c1=O
COc1ccc(O)c(C(=O)N2CCCC[C@H]2CC(=O)O)c1
CC(C)[C@H](NS(=O)(=O)c1ccccc1F)C(=O)O
O=C(O)c1cccc(S(=O)(=O)NCC(F)(F)F)c1
CC(C)[C@@H](NS(=O)(=O)c1ccccc1F)C(=O)O
O=C(O)CNS(=O)(=O)c1ccc(Cl)c(Cl)c1
O=C(O)C1=NN(c2nc3ccccc3[nH]2)C(=O)CC1
COc1cc(/C=C2/NC(=S)NC2=O)cc(Cl)c1O
Cc1[nH][nH]c(=O)c1C(c1ccco1)c1c(C)[nH][nH]c1=O
Cc1[nH][nH]c(=O)c1C(c1cccnc1)c1c(C)[nH][nH]c1=O
CCn1c(SCC(=O)O)nnc1-c1ccccc1O
CCc1cccc(CC)c1-n1c(O)cc(=O)[nH]c1=S
O=C(O)c1cnc(-c2ccc(Cl)cc2)[nH]c1=O
CC(C)C[C@H](NS(=O)(=O)c1cccs1)C(=O)O
CC(C)C[C@@H](NS(=O)(=O)c1cccs1)C(=O)O
O=C(O)c1cnc(-c2cccc(Cl)c2)[nH]c1=O
COc1ccc(C(=O)N2C[C@@H](C(=O)O)CC[C@@H]2C)c(O)c1
O=C(O)[C@@H]1C[C@H]1C(=O)N1CCCc2cccc(O)c21
COCc1cc(=O)c2c(O)n(-c3ccccc3)nc2[nH]1
O=C(O)c1ccccc1SCc1cc(=O)[nH]c(=O)[nH]1
CN(C)C[PH](O)(O)[C@H](Cc1ccco1)C(=O)O
Cc1ccc2c(C)nc(Nc3nc(O)cc(=O)[nH]3)nc2c1
COc1ccc2nc(Nc3nc(O)cc(=O)[nH]3)nc(C)c2c1
CN(C)C[PH](O)(O)[C@@H](Cc1ccco1)C(=O)O
COc1ccc2c(C)nc(Nc3nc(O)cc(=O)[nH]3)nc2c1
Cc1[nH][nH]c(=O)c1C(c1ccccn1)c1c(C)[nH][nH]c1=O
Cc1ncc2c(c1O)[C@@H](c1c(O)[nH]c(=S)[nH]c1=O)OC2
Cc1ncc2c(c1O)[C@@H](c1c(O)[nH]c(=S)[nH]c1=O)OC2
Cc1ncc2c(c1O)[C@H](c1c(O)[nH]c(=S)[nH]c1=O)OC2
Cc1ncc2c(c1O)[C@H](c1c(O)[nH]c(=S)[nH]c1=O)OC2
CC(C)c1ccc(-n2c(O)cc(=O)[nH]c2=S)cc1
O=C(O)CNS(=O)(=O)c1cc(Cl)ccc1Cl
CCOc1ccc(Cc2c(O)nc(N)[nH]c2=O)cc1
Cc1c(O)nc(Nc2nc(C)c3ccccc3n2)[nH]c1=O
COc1nc(NC(=O)c2cc(C(C)C)on2)n[nH]1
CCC(=O)Nc1nc(O)c(CCCCC(=O)O)c(=O)[nH]1
Cc1nc(Nc2nc(O)cc(=O)[nH]2)nc2ccccc12
Cc1ccccc1NC(=O)CSc1nc(O)cc(=O)[nH]1
O=C(CSc1nc(O)cc(=O)[nH]1)Nc1ccccc1F
COc1cccc2c(C)nc(Nc3nc(O)cc(=O)[nH]3)nc12
O=C(C[C@@H]1C[C@@H]2C=C[C@H]1C2)NCCc1nc(O)cc(=O)[nH]1
Cc1cc(Br)c(O)c(C(=O)Nc2nn[nH]n2)c1
O=C(O)CSCc1ccc(-c2nnn[nH]2)cc1
O=C(O)CSCc1ccc(-c2nn[nH]n2)cc1
Cc1[nH][nH]c(=O)c1C(c1ccccc1)c1c(C)[nH][nH]c1=O
COC(=O)c1cc(O)cc(-c2cnc(C(=O)O)nc2)c1
CCCC[C@@H](CCCc1c(O)nc(N)[nH]c1=O)C(=O)O
COc1cc(/C=C2/NC(=O)NC2=O)cc(Cl)c1O
